County,Year,Crime,Arrests,Age Group,Which,Year group,Rate
Baca,1992,Burglary,2,Adult,Property,1992-1994,6.22
Baca,1992,Burglary,2,Juvenile,Property,1992-1994,40.9
Baca,1992,Drug Violations,3,Adult,Drug,1992-1994,9.33
Baca,1992,Drug Violations,0,Juvenile,Drug,1992-1994,0
Baca,1992,Forcible rape,0,Adult,Violent,1992-1994,0
Baca,1992,Forcible rape,0,Juvenile,Violent,1992-1994,0
Baca,1992,Larceny/Theft,1,Adult,Property,1992-1994,3.11
Baca,1992,Larceny/Theft,0,Juvenile,Property,1992-1994,0
Baca,1992,Motor Vehicle Theft,0,Adult,Property,1992-1994,0
Baca,1992,Motor Vehicle Theft,5,Juvenile,Property,1992-1994,102.25
Baca,1992,Murder/Manslaughter,0,Adult,Violent,1992-1994,0
Baca,1992,Murder/Manslaughter,0,Juvenile,Violent,1992-1994,0
Baca,1992,Robbery,2,Adult,Violent,1992-1994,6.22
Baca,1992,Robbery,0,Juvenile,Violent,1992-1994,0
Bent,1992,Aggravated Assault,12,Adult,Violent,1992-1994,32.13
Bent,1992,Aggravated Assault,3,Juvenile,Violent,1992-1994,48.7
Bent,1992,Arson,0,Adult,Property,1992-1994,0
Bent,1992,Arson,0,Juvenile,Property,1992-1994,0
Bent,1992,Burglary,4,Adult,Property,1992-1994,10.71
Bent,1992,Burglary,2,Juvenile,Property,1992-1994,32.47
Bent,1992,Drug Violations,6,Adult,Drug,1992-1994,16.06
Bent,1992,Drug Violations,0,Juvenile,Drug,1992-1994,0
Bent,1992,Forcible rape,0,Adult,Violent,1992-1994,0
Bent,1992,Forcible rape,0,Juvenile,Violent,1992-1994,0
Bent,1992,Larceny/Theft,10,Adult,Property,1992-1994,26.77
Bent,1992,Larceny/Theft,20,Juvenile,Property,1992-1994,324.68
Bent,1992,Motor Vehicle Theft,3,Adult,Property,1992-1994,8.03
Bent,1992,Motor Vehicle Theft,0,Juvenile,Property,1992-1994,0
Bent,1992,Murder/Manslaughter,0,Adult,Violent,1992-1994,0
Bent,1992,Murder/Manslaughter,0,Juvenile,Violent,1992-1994,0
Bent,1992,Robbery,0,Adult,Violent,1992-1994,0
Bent,1992,Robbery,0,Juvenile,Violent,1992-1994,0
Boulder,1992,Aggravated Assault,221,Adult,Violent,1992-1994,12.05
Boulder,1992,Aggravated Assault,44,Juvenile,Violent,1992-1994,19.4
Boulder,1992,Arson,9,Adult,Property,1992-1994,0.49
Boulder,1992,Arson,22,Juvenile,Property,1992-1994,9.7
Boulder,1992,Burglary,143,Adult,Property,1992-1994,7.8
Boulder,1992,Burglary,102,Juvenile,Property,1992-1994,44.96
Boulder,1992,Drug Violations,266,Adult,Drug,1992-1994,14.5
Boulder,1992,Drug Violations,25,Juvenile,Drug,1992-1994,11.02
Boulder,1992,Forcible rape,29,Adult,Violent,1992-1994,1.58
Boulder,1992,Forcible rape,10,Juvenile,Violent,1992-1994,4.41
Boulder,1992,Larceny/Theft,1284,Adult,Property,1992-1994,70.01
Boulder,1992,Larceny/Theft,826,Juvenile,Property,1992-1994,364.1
Boulder,1992,Motor Vehicle Theft,56,Adult,Property,1992-1994,3.05
Boulder,1992,Motor Vehicle Theft,75,Juvenile,Property,1992-1994,33.06
Boulder,1992,Murder/Manslaughter,0,Adult,Violent,1992-1994,0
Boulder,1992,Murder/Manslaughter,0,Juvenile,Violent,1992-1994,0
Boulder,1992,Robbery,18,Adult,Violent,1992-1994,0.98
Boulder,1992,Robbery,9,Juvenile,Violent,1992-1994,3.97
Broomfield,1992,Aggravated Assault,23,Adult,Violent,1992-1994,#Error
Broomfield,1992,Aggravated Assault,12,Juvenile,Violent,1992-1994,#Error
Broomfield,1992,Arson,0,Adult,Property,1992-1994,#Error
Broomfield,1992,Arson,2,Juvenile,Property,1992-1994,#Error
Broomfield,1992,Burglary,36,Adult,Property,1992-1994,#Error
Broomfield,1992,Burglary,11,Juvenile,Property,1992-1994,#Error
Broomfield,1992,Drug Violations,16,Adult,Drug,1992-1994,#Error
Broomfield,1992,Drug Violations,5,Juvenile,Drug,1992-1994,#Error
Broomfield,1992,Forcible rape,1,Adult,Violent,1992-1994,#Error
Broomfield,1992,Forcible rape,0,Juvenile,Violent,1992-1994,#Error
Broomfield,1992,Larceny/Theft,2,Adult,Property,1992-1994,#Error
Broomfield,1992,Larceny/Theft,35,Juvenile,Property,1992-1994,#Error
Broomfield,1992,Motor Vehicle Theft,2,Adult,Property,1992-1994,#Error
Broomfield,1992,Motor Vehicle Theft,3,Juvenile,Property,1992-1994,#Error
Broomfield,1992,Murder/Manslaughter,0,Adult,Violent,1992-1994,#Error
Broomfield,1992,Murder/Manslaughter,0,Juvenile,Violent,1992-1994,#Error
Broomfield,1992,Robbery,1,Adult,Violent,1992-1994,#Error
Broomfield,1992,Robbery,0,Juvenile,Violent,1992-1994,#Error
